Correlation,MAPE
0.9999929876195929,0.008042085767140343
0.9999922746607249,0.007607444508480714
0.9999668034872996,0.007046070961819363
0.9999479936656352,0.006676857431712015
0.9999336191970313,0.006563162709196849
0.9999627607883091,0.006636190612971289
0.9999804681773231,0.007066922206247246
0.9999756999026004,0.008306438049846808
0.9998524472204989,0.01043174607266025
0.9998241732289742,0.012583636160730943
0.9999314649438337,0.015152623380015986
0.9999892268826702,0.017275877016469262
0.9999979107539867,0.019226509327274315
0.999999337197834,0.02117201260555997
0.9999988098569745,0.021410815598069767
0.9999966092564506,0.021383651148042932
0.999992037961097,0.021114066166326897
0.9999862907611842,0.020705829314864747
0.9999786634551233,0.02023693244413294
0.9999677713780472,0.020566684350937014
0.9999469746672984,0.020047534596083997
0.9999110217810272,0.01912839528436196
0.9998869454612769,0.017598886809188793
0.9999113534058294,0.01619252146785128
0.9999459249134599,0.014749784409503952
0.9999729198079778,0.01323554580836192
0.9999841608323405,0.012047716271196482
0.99998945155147,0.011003510374957648
0.9999906179123376,0.010304938469873563
0.9999906342131474,0.009673086236836593
0.9999954408112464,0.009072421722475871
0.9999978967345419,0.008592011419435485
0.9999992804150774,0.008207826361368431
0.9999999020851117,0.007961957479245777
0.999993560145556,0.015112064309041112
0.9998865045967882,0.022636431304331645
0.999612018912504,0.03146709955203824
0.9995929818823132,0.03636267538378946
0.999872253377609,0.04324622370482355
0.99999241630985,0.05478301000877731
0.9999959155012026,0.053624869891204754
0.9999986695951982,0.05240898331696141
0.9999993898294904,0.05185177096585092
0.9999997182194876,0.05135342082959309
0.9999998085428602,0.05097725929025417
0.999999569449241,0.05055611412944597
0.99999956474474,0.050251590865644326
0.9999995745882099,0.04977559905767498
0.9999996053397705,0.04841798961459967
0.9999992426052084,0.048526468696721684
0.9999982296750486,0.04867370880146227
0.9999943956308416,0.04888143595622956
0.999985569721311,0.04908975041991323
0.9999934120575561,0.05040265191045767
0.999996072493839,0.052554195531893035
0.9999969723810577,0.055983293035146965
0.9999972250947966,0.060007727012703044
0.9999983400135682,0.06487387128270863
0.9999990366425426,0.07045711600823212
0.9999943250802981,0.07244427983980489
0.9999901634301984,0.07486975972727844
0.9999880058961402,0.08146072604786939
0.9999666185114933,0.08478532260547263
0.999884775142002,0.08705047373310643
0.9999574298379982,0.08881152043216926
0.9999765774249438,0.08930047910294167
0.9999795084524126,0.08847553141273405
0.9999789069727203,0.0860203023631749
0.9999765635079514,0.08273677180203598
0.9999705214913639,0.0783908676728198
0.999963787540673,0.07301359888333078
0.9999417454624105,0.07175279950922923
0.9999113419582645,0.07081690847057966
0.9998915430030404,0.06648881941763184
0.9999362716744085,0.06554772927989885
0.9999699349684792,0.06533296830282699
0.9999838912477746,0.0651307401675388
0.99998927673918,0.069562756131143
0.9999923982560385,0.07448026181469332
0.9999945873306246,0.07659992678321796
0.9999965613481374,0.07928883554586325
0.9999967076224402,0.08260909979123553
0.9999959010991236,0.08639046254317367
0.999955378207144,0.0910426829704677
0.9995251184738819,0.09381728078183439
0.9991988746182174,0.09685147135938228
0.9986258536215344,0.10597119194812013
0.9996991306628233,0.10784911001926958
0.9999150675988566,0.10963554783258045
0.9999409777664052,0.10593306528252763
0.999958855113796,0.10170934860907097
0.9999692999197899,0.10087770328496934
0.9999729511445817,0.0994549094793378
