,PI_90_10,PI_80_20,PI_70_30,PI_60_40
0,0.16200519333619745,0.13891251327191867,0.1298065673424844,0.049078147395018965
1,0.07996033647457179,0.05868406179610863,0.12651288079180434,0.08456971112537347
2,0.11289009745888912,0.09499976572295088,0.1330862718354322,0.07295599107439815
3,0.5668929558515723,0.6549698352394597,0.3699244590169343,0.013088284859797211
4,0.983995821803238,1.1452906416950928,0.6933619463711375,0.10523028596867058
5,0.6919415827515791,0.7576407373527931,0.4802414843048449,0.07344291919203769
6,0.19656964374597474,0.2032309132500676,0.22606415191023965,0.11891842335988125
7,0.316010687858596,0.31543812200368304,0.2504820120584379,0.0964219669521344
8,0.2874449518379807,0.2810233018952868,0.1750787961990381,0.03932507147711631
9,0.3658700761234308,0.3570647139669896,0.14148709181213903,-0.03074516412200573
10,0.606825808781257,0.5911417461994952,0.03687524203354897,-0.2485271974371057
11,1.0683349297864109,1.042741552081628,0.23290753380132379,-0.2713418155590352
12,0.5276968490222673,0.4974699085710872,0.05086217877010735,-0.18304948879254973
13,0.4159468492629381,0.3554350696831341,0.15230760815750755,-0.005903340249309358
14,-0.3666859972817538,-0.4012767264116437,-0.19753202251624324,0.011966117804160924
15,-1.1396561086858972,-1.1497682921407655,-0.7319124292138839,-0.16534309582987278
16,-1.85644819209006,-1.8449321961429674,-0.8513375192833773,0.060496824222267265
17,-2.090254084333296,-2.073812228438013,-0.9552127868670882,0.06509931491327446
18,-1.546516399480679,-1.4840441574975507,-0.6721599788745712,0.04635266291507077
19,-1.2917349418206454,-1.265721260614865,-0.5231586459496141,0.10115255801968877
20,-0.8753689181997747,-0.845617242991198,-0.31907542244183745,0.09320127158204103
21,-0.37577670909939453,-0.3433659443202003,-0.06499062483037787,0.09431457797919562
22,-0.050861968737852536,-0.020910827431068424,0.04133407015702112,0.017206173003963543
23,0.27791480465271323,0.3073275403927472,0.2563027252649214,0.08871334902267886
24,0.4152661846917946,0.47532287897007824,0.39283510244022174,0.15586238732502838
25,0.07798323773197113,0.10555700442091953,0.2016026880272373,0.1352837353762548
26,0.34945857229388766,0.34230562769207773,0.3786306749572913,0.20460862360237292
27,0.6330521466286492,0.6238933203071283,0.5852610323525863,0.2735427217660133
28,0.8468905383792257,0.8517671087612748,0.6654058876439031,0.2386370645914854
29,0.7340483788715697,0.7243423642764132,0.5024695687347045,0.14276356574293483
30,0.7921905040923654,0.7899979606988687,0.48207046562170774,0.08740860952789548
31,1.2361518185911216,0.7914131288650391,0.4629253172232287,0.08152922823804465
32,1.6185281886181024,0.7469544055403943,0.4337352777948926,0.08137943072533868
33,1.7862589212606732,0.8933173566638831,0.43651598851568507,0.017442494474989967
34,1.794785892398167,0.9009123630878602,0.34717134991253884,-0.08332781940168232
35,1.6205638415254375,0.7278748918155227,0.14756737940820297,-0.20726944372585454
36,1.062861492961694,0.1452535837361193,-0.25672753929368985,-0.3250208271891461
37,0.7003309335975825,-0.5684361330087706,-0.710183000272426,-0.40527158709510513
38,0.4594113200876193,-0.8140632949596507,-0.794792097436277,-0.36918200616104335
39,-0.15606059579727205,-1.4153793798975924,-0.732374621286564,-0.01644935607942477
40,-0.3323453038496398,-1.5952762467413668,-0.8336167689674296,-0.029662698472886273
41,-0.7151427090758626,-1.9594450590083021,-0.7755979180632878,0.20761284440732145
42,-2.545353053217343,1.06344743049195,0.7318625883085158,0.26220746623984303
43,-2.9252245932117815,1.0968514729545098,0.760043771849387,0.2769305665031448
44,-1.6138404627794813,-1.996382655452529,-0.9001961284006582,0.11056964713255257
45,0.34614039490876314,0.17674852273546926,0.2959452254535469,0.22765944297120744
46,0.3854259694512392,0.10840034045725955,-0.06688555299113352,-0.09553873539808555
47,0.5725983324193497,0.5932271617587468,0.4764117816776703,0.19631362426199478
48,-3.5999410143041484,0.2691681139288059,0.6513187345874908,0.27209065057443865
49,-1.9490122506870649,-1.9016374778666671,-1.3243912969453637,-0.376343606637516
50,-1.8458702001524605,-1.7695911030957263,-1.7668996109872972,-0.8704375117021803
51,-0.3833381871849041,-0.20077962333256294,-0.2516588485930481,-0.1298972761487208
