entropy_10m,standard_deviation_10m,turbulence_intensity_10m,variability_index_10m
0.7197595020754846,0.47162543989436734,0.14113479498085804,0.41895261845386517
0.75050419022221,0.44969125210773464,0.13357165904190135,0.4158415841584156
0.7100700410869606,0.4663689526544407,0.13921461273266889,0.4179104477611939
0.6588864664233995,0.4358898943540673,0.12820291010413742,0.4117647058823528
0.5150262348187304,0.40918278990636386,0.11663167408257402,0.3705463182897862
0.5866155120146748,0.45092497528228936,0.12525693757841372,0.41666666666666663
0.619733098605847,0.5438417866336577,0.14731605958473798,0.5146726862302484
0.5832585792532224,0.6368324391514267,0.16613020151776348,0.5739130434782609
0.4973777268158881,0.6706133179576903,0.17269012479597176,0.5665236051502146
0.3633968938158576,0.706320670013903,0.17957305169844986,0.559322033898305
0.40966119974628046,0.7235617918786665,0.18202812374306077,0.5534591194968553
0.5106535566546856,0.7065172798075549,0.1744487110635938,0.54320987654321
0.5922967365123374,0.6664061991174919,0.16025800379578964,0.529058116232465
0.6429418246218837,0.5852349955359814,0.13770235189081914,0.5176470588235295
0.7367110187990963,0.39042355917074933,0.08890100019068296,0.364326375711575
0.7135117823580794,0.2560381915956203,0.05732198319304932,0.22388059701492538
0.7134663532332195,0.30945741046045233,0.06967146201736261,0.2926829268292682
0.8732736328323724,0.5505048188304582,0.12753007386033782,0.5096525096525097
0.7476776435584352,0.6599663291074445,0.1583919189857867,0.5280000000000001
0.5918616624290829,0.6394442031083626,0.15853988506818908,0.47107438016528935
0.5303381939111802,0.7107800878846658,0.1834271194541073,0.5161290322580645
0.5634332405881537,0.7107800878846658,0.19081344641199086,0.48322147651006714
0.6722021461873462,0.6749485577105528,0.18576565808547327,0.4954128440366972
0.745469073612818,0.6446359868604572,0.1807390617365768,0.5046728971962616
0.7618707693371067,0.5804093383121951,0.16702427001789788,0.5179856115107914
0.8338610959579993,0.5407684860969207,0.15944033988115602,0.5307125307125308
0.8973895874235637,0.4258977446393546,0.12971504912873744,0.4873096446700506
0.7594464332764831,0.2967415635794143,0.09321724510348092,0.31413612565445026
0.7428589655812373,0.25317429218272186,0.08058598159662234,0.2546419098143235
0.6064583928038009,0.30641293851417056,0.09476688820025894,0.37113402061855666
0.5964825181641795,0.4692636075100361,0.13904106889186255,0.5629629629629628
0.5920756277274706,0.6693695209341066,0.19034204386751846,0.682464454976303
0.5018864124686112,0.7983924821512008,0.21337883710054364,0.66815144766147
0.41656662290518803,0.9184452442397787,0.23105540735591917,0.6540880503144654
0.30634744334182806,0.9681023820971737,0.2342183182493162,0.6290322580645161
0.3265968592368216,0.9817784316682093,0.23010431992223657,0.609375
0.4386720263113462,0.9472181492255214,0.21858880366742797,0.6
0.5074998336194717,0.8926785535678562,0.19948124102074996,0.5810055865921787
0.6074620036221794,0.8178562764256864,0.17651574311345747,0.5611510791366906
0.7618126067214557,0.6788470618138767,0.14291517090818456,0.5263157894736842
0.8631955163375046,0.49574579059119495,0.1010008401883589,0.3667232597623091
0.8656468072569203,0.3915780041490244,0.07831560082980488,0.3
0.8937073915788458,0.3744440323110161,0.0745162253355256,0.2985074626865672
0.8404610571022676,0.37859388972001823,0.07571877794400364,0.3
0.7941540785945167,0.35901098714230023,0.07228409137093293,0.30201342281879195
0.7802615363619071,0.3278719262150999,0.06760245901342267,0.22680412371134015
0.8764258615572702,0.4690415759823429,0.0997960799962432,0.3404255319148936
0.7771471888108713,0.47103609203541924,0.10184564152117173,0.34594594594594585
0.6991425055127761,0.5402545696243577,0.11808843051898528,0.34972677595628404
0.6778002310349243,0.6047841671942882,0.13565252348283097,0.35887850467289706
0.6970137291380721,0.6141841924229425,0.14173481363606363,0.3692307692307691
0.7408432351962161,0.7747311361584308,0.18556434399004332,0.5988023952095808
0.7406596869669256,0.7354137157636735,0.18158363352189466,0.5925925925925924
0.7341483444375619,0.6847546194724713,0.17409015749300116,0.6101694915254237
0.8146055828818363,0.6210989364738027,0.1609759662567091,0.6220302375809934
0.8735641367436194,0.5713045500334203,0.14968678166814506,0.62882096069869
0.8749268994929782,0.5889609494694872,0.15397671881555222,0.65359477124183
0.803478086681179,0.6144102863722252,0.15958708736940913,0.6493506493506492
0.6615899211127884,0.6289320754704402,0.15989798528909493,0.6355932203389829
0.5511165512825159,0.6609652033201141,0.16628055429436833,0.6289308176100628
0.6489561979605925,0.6609652033201141,0.16628055429436833,0.6289308176100628
0.691778801321507,0.6751028728193125,0.17055230471224736,0.6315789473684209
0.6927750874594345,0.680073525436772,0.17217051276880305,0.6329113924050632
0.700693749498949,0.5958187643906492,0.1489546910976623,0.47499999999999987
