Correlation,MAPE,NRMSE,NMAE,CRPS
0.9999929876195929,0.008042085767140343,0.00810771638032653,0.005165207181649929,7.507096071487359
0.9999922746607249,0.007607444508480714,0.005435214160205871,0.0034919168321714,7.78169085003595
0.9999668034872996,0.007046070961819363,0.004124688193978306,0.0029441720723883767,6.142841347633637
0.9999479936656352,0.006676857431712015,0.0032611845432656337,0.0024561413464638973,9.708800789484249
0.9999336191970313,0.006563162709196849,0.0038621316803119365,0.002936660284983676,6.973736082846408
0.9999627607883091,0.006636190612971289,0.00525496791762873,0.003708758984572702,4.088498867415373
0.9999804681773231,0.007066922206247246,0.005159792377874329,0.0034213524153284226,4.177990158794953
0.9999756999026004,0.008306438049846808,0.005313395402705336,0.003764977653052771,4.372894634520229
0.9998524472204989,0.01043174607266025,0.006934993103150887,0.00466022926558206,5.468710497425251
0.9998241732289742,0.012583636160730943,0.0070493910900189865,0.0040808656314557535,6.362671523056447
0.9999314649438337,0.015152623380015986,0.008474731357092018,0.004169260249145661,7.4273102619736715
0.9999892268826702,0.017275877016469262,0.008271830638044679,0.004039967248157524,4.610500816066708
0.9999979107539867,0.019226509327274315,0.010185150726332528,0.005516700209353565,4.47724600598314
0.999999337197834,0.02117201260555997,0.011274901182262282,0.006722537919668712,2.9037153011659833
0.9999988098569745,0.021410815598069767,0.012977596838504512,0.008577590098471751,2.318066011847627
0.9999966092564506,0.021383651148042932,0.0119868522880994,0.008580025732802025,3.2047220580299642
0.999992037961097,0.021114066166326897,0.011628275490608207,0.008930749239456187,2.6409704053511103
0.9999862907611842,0.020705829314864747,0.012409540803793731,0.010174620406177419,3.871760738916316
0.9999786634551233,0.02023693244413294,0.013219705670127155,0.011443031879599977,7.673585504983409
0.9999677713780472,0.020566684350937014,0.0139088046052303,0.012436366014366937,7.75188355646925
0.9999469746672984,0.020047534596083997,0.014951911068617364,0.013657103307078802,7.546066854933438
0.9999110217810272,0.01912839528436196,0.01738345232962025,0.016006202283562556,7.358534800152567
0.9998869454612769,0.017598886809188793,0.021466605389456727,0.019460319234216084,10.409884137332357
0.9999113534058294,0.01619252146785128,0.019381179938200873,0.016999064611744687,6.891439209874155
0.9999459249134599,0.014749784409503952,0.01579986278264227,0.013283529044880607,29.271342508590983
0.9999729198079778,0.01323554580836192,0.01240309728832458,0.009916401291467827,22.34940713229429
0.9999841608323405,0.012047716271196482,0.01055479909069088,0.007933682762807419,20.358068058522896
0.99998945155147,0.011003510374957648,0.008607513511638645,0.006095252556265127,14.898073776308902
