ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted),Perform
43.69065394091116,42.95851847837485,39.95142218488861,28.873396189373697,28.385905785206845,26.398892380242366,89.32799389896232,87.92304828741422,81.7684349072952,38.14325291666667
41.46425696094858,40.892773620144474,38.03027946673438,28.801849086142084,28.40386324797119,26.415592820613206,96.52281655334157,95.2727210265084,88.60363055465282,37.63050300000001
27.524949553870123,27.229380968184945,25.323324300411983,23.566189438370152,23.312729138390747,21.680838098703397,72.4755086204806,71.753971138251,66.73119315857343,23.441340416666666
22.965890125927906,22.78905024721809,21.19381672991281,18.192868080016016,18.046394442919965,16.783146831915566,35.85502791137217,35.57829233003664,33.08781186693408,11.273178583333333
14.189865933954628,14.105025584320371,13.117673793417934,13.445024036445226,13.362791751542316,12.427396328934343,19.29268641178646,19.189415831778618,17.846156723554092,6.878219608333333
8.885839029860614,8.853662789522758,8.23390639425617,10.204477290021702,10.168587132475343,9.456786033202077,22.5755324312453,22.51430126579906,20.938300177193135,6.4063217083333335
9.229408083931965,9.226804741471575,8.580928409568578,9.122222470059075,9.119644047324233,8.481268964011518,45.235975026364486,45.22651253624502,42.06065665870784,10.201517416666668
9.329478336345902,9.354051694580198,8.699268075959575,10.094852741368534,10.120957912907071,9.412490859003572,45.74272577194762,45.83210404699355,42.623856763704,11.464981833333333
7.829384429569258,7.873616386409826,7.322463239361137,11.742182500054827,11.803074094578864,10.976858907958341,47.37784824691649,47.57190759422712,44.24187406263121,15.354847999999999
8.958685036079178,9.035097012457918,8.402640221585871,11.484949080986897,11.576533225968403,10.76617590015061,47.70080419188188,47.99850870789884,44.63861309834593,18.059489833333334
9.047765918805618,9.135978440859244,8.496459949999092,9.832466775933414,9.926672623689418,9.231805540031154,36.64713106006035,36.915462092849694,34.331379746350215,23.21208391666667
8.454291456245853,8.547985084447518,7.949626128536177,9.574795630669975,9.678794072577427,9.001278487497006,21.434998576069784,21.612660253020486,20.099774035309053,19.212418916666667
4.6186487498069155,4.671955164515367,4.344918302999311,11.58720331772163,11.719286783198502,10.898936708374592,25.22127336700158,25.45132012246496,23.669727713892414,18.305308499999995
0.0,0.0,0.0,14.749214998990352,14.910514202058476,13.866778207914393,14.351541109890826,14.51030466969132,13.494583342812916,15.749159333333337
0.0,0.0,0.0,19.704709016881726,19.910905417348538,18.517142038134146,7.543585277599059,7.6479136993498065,7.112559740395323,8.072586691666666
0.0,0.0,0.0,20.238151802086715,20.45989128869186,19.027698898483422,3.5184762968221914,3.5881111259958405,3.336943347176119,0.37851095774999993
0.0,0.0,0.0,24.6529679548266,24.771628136099167,23.037614166572208,0.0,0.0,0.0,0.0
0.0,0.0,0.0,35.94644101329288,35.90617885431747,33.392746334515245,0.0,0.0,0.0,0.11051520753333333
4.584767755296798,4.543694282302356,4.2256356825412,54.57343515262647,54.20448067392852,50.410167026753506,5.814643323909793,5.762249349792706,5.3588918953072175,2.4540869916666668
10.333583666642342,10.152631209560305,9.441947024891068,73.36447235738488,72.44747811852493,67.37615465022817,10.149711381777827,9.97111346960942,9.273135526736754,8.690588741666668
18.88515063902063,18.493987964187863,17.199408806694713,88.34651220157815,86.70575589597618,80.63635298325786,22.64696985641682,22.193402288281177,20.639864128101497,22.964049416666665
36.07326000249979,35.11687546454655,32.6586941820283,102.14077056704437,99.60417364915311,92.63188149371238,43.72869413132373,42.582435195872335,39.60166473216128,44.13975725
71.92189635451402,70.15172427191521,65.24110357288116,111.25308701450673,108.46813201572533,100.87536277462456,51.82674699465114,50.49289740920022,46.9583945905562,55.28643675
81.8320534169541,79.80779018251812,74.22124486974187,110.34857422902495,107.5707700124937,100.04081611161915,69.59159239029668,67.86553748243283,63.114949858662506,88.05861291666668
96.6307434414193,94.19950585742791,87.60554044740798,119.97041673850264,116.94297424736904,108.75696605005321,131.9499003419066,128.6595440978082,119.65337601096164,149.22180333333333
93.19037224130535,91.039311387381,84.66655959026433,162.9258597132195,159.3131094444583,148.1611917833462,228.32657645321854,223.16064941836802,207.53940395908222,183.7653175
121.60195309162579,119.02808534921718,110.69611937477195,198.2726179711513,194.06542701284576,180.48084712194654,249.9,249.9,238.97157785456162,211.89960500000004
141.50097557396475,138.85663345431243,129.13666911251053,205.13352316761097,201.15152949647546,187.07092243172218,249.9,249.9,238.97443061206928,208.9560091666667
143.7776760627809,141.3875935008012,131.4904619557451,174.02633456025447,171.16776032393358,159.18601710125822,248.31860704322153,246.27488728562088,231.397395043135,199.97887749999998
103.37956175351907,101.82069442925139,94.6932458192038,136.0398344116965,134.0291017130474,124.64706459313409,249.9,249.9,236.05840093429856,196.81191416666664
65.21686492814455,64.37454319535088,59.868325171676325,125.19749587209664,123.57875935212142,114.92824619747292,208.56176940848144,205.80755777683552,191.40102873245704,185.23421
65.08811668932822,64.3538376742356,59.849069037039115,115.53705206334573,114.22326700954015,106.22763831887232,180.98517817652984,178.99362764523653,166.46407371006995,173.75562
63.03653359191233,62.426148337484555,58.05631795386065,107.98145346372618,106.93053450438964,99.44539708908236,163.81961753132498,162.30210850706348,150.94096091156902,165.640055
57.284503623302804,56.81716616184755,52.8399645305182,88.44521810847418,87.73921552125553,81.59747043476766,151.49763304839087,150.3245150576641,139.80179900362756,151.19964583333334
51.48658296911432,51.08828079849027,47.51210114259596,63.25483063184534,62.78153295632903,58.38682564938599,129.85149721540347,128.8877686755032,119.86562486821795,124.26927458333336
36.663375185472994,36.3911878841808,33.843804732288135,35.05505666415797,34.794643383307736,32.35901834647619,102.20428600150723,101.4932819783688,94.38875223988296,95.552779
19.574011006551732,19.437203929646408,18.076599654571165,14.343004950636459,14.231137721873683,13.23495808134252,80.58290332382217,80.07526178345786,74.46999345861582,63.80914408333334
10.183895392388226,10.093987054211787,9.38740796041695,2.9292227928606636,2.873583679465967,2.672432821903358,66.92000147686693,66.49754710447306,61.84271880715993,42.9390165
4.542915526952871,4.5036835226962575,4.188425676107508,0.0,0.0,0.0,37.82230601738231,37.5659422901928,34.93632632987929,20.83392733333333
0.0,0.0,0.0,0.0,0.0,0.0,32.83702798584872,32.6149667730624,30.33191909894802,5.462922616666667
0.0,0.0,0.0,0.0,0.0,0.0,10.745013893973008,10.587819058138178,9.846671724068507,1.8820096733333338
0.0,0.0,0.0,0.0,0.0,0.0,10.645902398282468,10.425682357395578,9.695884592377904,0.2432514445
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025536775733333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15915449751666666
0.0,0.0,0.0,5.668249282751426,5.42435199879469,5.04464735887906,0.0,0.0,0.0,0.57688369
4.842039902772992,4.594811039862353,4.2731742670719965,9.09981185890447,8.604407708177144,8.002099168604753,4.782368572982416,4.5370774390527995,4.21948201831912,1.1276039183333333
12.405776336250797,11.749731093005165,10.927249916494793,13.055786500579398,12.37902368120308,11.512492023518849,5.609629622429354,5.305968394138934,4.93455060654922,1.2979041291666669
7.079589059311876,6.6519254844575215,6.186290700545489,7.083790112123213,6.655830864130091,6.189922703640998,8.906037716246502,8.364581993103892,7.7790612535866055,0.056688574474999996
0.0,0.0,0.0,2.73732655904145,0.0,0.0,0.0,0.0,0.0,0.39192052499999996
